datetime,city,state,citystate,country,shape,filename,full_filename,full_filename,duration_sec,duration_hm,comments,date posted,latitude,longitude
11/25/09 8:03,dubai (united arab emirates),,,,other,ufo-other.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-other.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-other.png?raw=true"">",0,unknown,a black bean shaped object floating in the sky .,12/12/09,25.047664,55.181741
10/25/13 18:25,al warqaa 1 (u.a.r.),,,,light,ufo-light.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-light.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-light.png?raw=true"">",600,5-10 minutes,Cloud containing yellow&#44 purple and red lights for 5 minutes.  Lights remained contained and cloud disappeared after 5-10 minutes.,11/11/13,25.187459,55.405636
6/12/11 21:00,doha,,,,unknown,ufo-unknown.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-unknown.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-unknown.png?raw=true"">",120,1 to 2 minutes,All three have the conical shape leaving a burning yellow trail...,3/13/12,25.286667,51.533333
9/18/97 22:15,doha (qatar),,,,circle,ufo-circle.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-circle.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-circle.png?raw=true"">",15,10-15 sec,UFO sighting In a Gulf Desert,8/5/01,25.286667,51.533333
11/29/12 0:00,sharjah (dubai),,,,formation,ufo-formation.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-formation.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-formation.png?raw=true"">",3600,1 hour,OVAL SHAPED FORMATION OF WHITE UFO&#39S.....,12/20/12,25.357522,55.391865
1/12/03 7:02,sharjah (united arab emirates),,,,oval,ufo-oval.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-oval.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-oval.png?raw=true"">",360,6minuits,At the time just when sun rises looking towards sun rise vertical plane with ~45 degree (elevation) a bright oval body appeared includi,3/21/03,25.357522,55.391865
2/13/10 23:05,sharjah (u.a.e.),,,,fireball,ufo-fireball.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-fireball.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-fireball.png?raw=true"">",180,3 minutes,Fire ball like sighting in Sharjah&#44 UAE,2/14/10,25.357522,55.391865
12/18/10 23:47,sharjah,,,,light,ufo-light.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-light.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-light.png?raw=true"">",120,2 mins,I saw the same lights again a day later but this time inside sharjah city&#44 densely populated neighbourhood with  high rise buildings,1/5/11,25.357522,55.391865
8/15/10 3:34,sharjah (united arab emirates),,,,light,ufo-light.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-light.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-light.png?raw=true"">",30,30 seconds,4 white lights/dots in the sky going left&#44right&#44up and down,8/24/10,25.357522,55.391865
1/6/01 7:05,sharjah (uae),,,,light,ufo-light.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-light.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-light.png?raw=true"">",4,4 sec,I was on the was to drop my wife to her school as She is a teacher and I&#39m a network Eng. We saw a flash light or a triangle shaped bri,2/18/01,25.357522,55.391865
2/19/10 23:30,ajman (united arab emirates),,,,fireball,ufo-fireball.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-fireball.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-fireball.png?raw=true"">",180,2-3 minutes,Orange flamed fireball spotted from Ajman beach 11.30pm Friday 19 Feb 2010,4/13/10,25.3995,55.4796
2/27/02 6:27,ras al khaimah (uae),,,,oval,ufo-oval.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-oval.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-oval.png?raw=true"">",240,4 min,An oval object full of lights&#44 stationary on the sky,3/19/02,25.800693,55.976199
5/18/06 23:00,east riffa (bahrain),,,,diamond,ufo-diamond.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-diamond.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-diamond.png?raw=true"">",300,5 mins,saw a diamond like star &#44bluish white colour twas moving away first a big star&#44 moved for 1.5 min in one direction then reduced half it,7/16/06,26.13,50.555
10/29/08 19:30,west riffa (kingdom of bahrain),,,,triangle,ufo-triangle.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-triangle.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-triangle.png?raw=true"">",0,,Weird Object moving slowly to West and then disappeared in nano second,10/31/08,26.13,50.555
1/1/47 17:00,manama (bahrain),,,,circle,ufo-circle.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-circle.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-circle.png?raw=true"">",300,5 minutes,Slow  moving circular craft&#44 15 whitnesses&#44 took 5 mins to pass&#44 could be touched.,3/19/09,26.216667,50.583333
1/11/12 18:12,manama (bahrain),,,,unknown,ufo-unknown.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-unknown.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-unknown.png?raw=true"">",20,20 seconds,I was taking my friends picture on 32 flour suddenly the object appears.  ((NUFORC Note:  No photo accompanied the report.  PD)),11/19/12,26.216667,50.583333
11/26/02 17:00,dhahran (saudi arabia),,,,circle,ufo-circle.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-circle.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-circle.png?raw=true"">",600,10 minutes,A very bright circular light hovering for about ten minutes and then vanishing in a split second.,12/23/02,26.266667,50.15
6/1/98 21:45,persian gulf,,,,light,ufo-light.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-light.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-light.png?raw=true"">",30,30 secs.,Light going back and forth and left to right very smoothly across the sky.,3/21/03,26.750534,51.683427
11/15/90 23:30,jubail (saudi arabia),,,,oval,ufo-oval.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-oval.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-oval.png?raw=true"">",120,2min,Pre-sighting of March 1996 Blue Oval near Jubail Saudi Arabia,10/31/03,27,49.666667
11/20/90 22:30,al - jubail (approx. 35 miles sw of) (saudi arabia),,,,circle,ufo-circle.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-circle.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-circle.png?raw=true"">",60,1min,While on guard duty during Operation Desert Shield&#44 I and three others we&#39re talking at the entrance gate to our compound in the Saudi,10/12/01,27,49.666667
3/31/10 1:40,jafir (jordan),,,,none,,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/?raw=true"">",100,01:40,3 Saucers land in Jordan with tall Aliens heading down from them,4/13/10,27.33,52.903333
7/9/08 21:00,kuwait,,,,light,ufo-light.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-light.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-light.png?raw=true"">",600,appr. 10 min.,Possible UFO in the Kuwaiti desert disappeared after two military jets entered the air space.,8/12/08,29.31166,47.481766
1/16/95 20:00,kuwait,,,,fireball,ufo-fireball.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-fireball.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-fireball.png?raw=true"">",300,5 mintues,green fire ball in KUWAIT toward the sky &#44 and a power failure at the same location for one hour,2/14/08,29.31166,47.481766
6/22/95 20:00,kuwait,,,,fireball,ufo-fireball.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-fireball.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-fireball.png?raw=true"">",300,5 mintues,1995 in KUWAIT a green bright light flying toward the sky,2/14/08,29.31166,47.481766
12/19/04 20:00,kuwait,,,,oval,ufo-oval.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-oval.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-oval.png?raw=true"">",240,4 minuts,4 din lights in the sky  ((NUFORC Note:  Advertising lights??  PD)),1/11/05,29.31166,47.481766
7/24/03 0:00,kuwait (camp &quot;new jersey&quot;),,,,disk,ufo-disk.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-disk.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-disk.png?raw=true"">",240,4 minutes,3 different type of lights spinning CW and CCW against each other and the craft would appear and disappear.,2/27/14,29.31166,47.481766
4/1/03 0:00,kuwait,,,,oval,ufo-oval.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-oval.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-oval.png?raw=true"">",120,1-2min,Light in sky resembles eye opening.,10/30/06,29.31166,47.481766
7/9/05 2:45,kuwait,,,,changing,ufo-changing.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-changing.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-changing.png?raw=true"">",60,1 min,things just change shape and dissapere from the sky in a blink of an eye...,10/11/05,29.31166,47.481766
12/11/07 23:45,kuwait,,,,light,ufo-light.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-light.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-light.png?raw=true"">",25,25 sec,a fading light over Kuwait&#44 this light was behaving like a one side light of a round object that was circling it self&#44,3/4/08,29.31166,47.481766
9/27/04 19:40,kuwait,,,,light,ufo-light.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-light.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-light.png?raw=true"">",15,15 s,isaw a red small light NE kuwait city sky suden is on than it gos off then came back moor brighter it wasnt moving than it turn off iwa,9/29/04,29.31166,47.481766
11/22/09 0:00,kuwait,,,,light,ufo-light.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-light.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-light.png?raw=true"">",5,5 sec,one light over Camp LSA&#44 Kuwait; moving fast - made a &quot;z&quot; maneuver.,12/12/09,29.31166,47.481766
12/28/06 9:34,kuwait,,,,disk,ufo-disk.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-disk.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-disk.png?raw=true"">",0,morning,When I was going to the university in the way I&#39ve seen a Disk shaped object flying in the sky and it was very far&#44 but it was shining,2/1/07,29.31166,47.481766
10/29/11 2:30,kuwait city (near) (kuwait),,,,circle,ufo-circle.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-circle.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-circle.png?raw=true"">",600,~10 minute,Three bright lights lined up on Orions Belt; darted across sky to form triangle,7/3/13,29.369722,47.978333
12/22/00 3:00,shiraz (iran),,,,circle,ufo-circle.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-circle.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-circle.png?raw=true"">",13,10 to13sec,It was a round object pulsating green light all over it. It was there and then suddenly vanished.,8/5/01,29.591768,52.583698
8/10/09 0:30,basrah (iraq),,,,other,ufo-other.png,<img src =*https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-other.png?raw=true*>,"<img src =""https://github.com/djwrisley/ESUDH/blob/master/HDME2021/UFOMAP/UFOIMAGES/ufo-other.png?raw=true"">",12,12 seconds,UFO sighting in Basrah Iraq by U.S. Soldier,11/21/10,30.5,47.816667
