SOURCE,geonames_ID,Name1,Name2,Name3,lat,long
geonames,8042645,Al Ḩarmalah,Al Harmalah,"Al Harmalah,Al Ḩarmalah,alhrmlt,الحرملة",25.57511,55.59066
OSM,node/1778295416,Djazira Al Harmala,جزيرة الحرملة,جزيرة الحرملة,25.5751994,55.5904347
OSM,way/117319368,,,,25.5790285,55.6137545
OSM,way/117319372,,,,25.5863669,55.6206612
geonames,292648,Jazīrat as Sīnīyah,Jazirat as Siniyah,"Al-Siniyyah,Al-Sīniyyah,As Sīnīyah,AsSiniyah,Jazirat Mallah,Jazirat Siniyah,Jazirat as Siniyah,Jazīrat Mallāh,Jazīrat Sīnīyah,Jazīrat as Sīnīyah,jzyrt alsynyt,جزيرة السينية",25.6043,55.62768
OSM,node/1778295412,Jazirat Al Sinniyah,Jazirat Al Sinniyah,,25.6057225,55.6082982
geonames,8051658,Al Binaydar,Al Binaydar,"Al Binaydar,albnydr,البنيدر",25.61947,55.68465
OSM,relation/13023779,Jazīrat as Sīnīyah,جزيرة السينية,جزيرة السينية,25.6218794,55.6504549
geonames,8051657,Al Ḩālah,Al Halah,"Al Halah,Al Ḩālah,alhalt,الحالة",25.63016,55.68544
OSM,way/309790489,,جزيرة المرجان,جزيرة المرجان,25.6785127,55.7458079
OSM,way/329953258,,,,25.6875475,55.7553921
OSM,way/231692724,,,,25.6885585,55.7383581
geonames,291980,Al Jazirah Al Hamra,Al Jazirah Al Hamra,"Al Jazirah Al Hamra,Al Jazirah al Hamra',Al Jazīrah al Ḩamrā’,Jazirat al Hamra',Jazirat az Za'ab,Jazīrat al Ḩamrā’,Jazīrat az Za‘āb,Jezirat al Hamra,RHR",25.70361,55.79556
OSM,way/235987110,,,,25.7210696,55.8310724
OSM,way/874795156,Mina Al arab,ميناء العرب,ميناء العرب,25.7221579,55.8354233
OSM,way/415406190,,,,25.7234825,55.843701
geonames,291127,Jazīrat Qurmah,Jazirat Qurmah,"Jazirat Qurmah,Jazīrat Qurmah",25.76667,55.95
geonames,291879,Jazīrat Ḩulaylah,Jazirat Hulaylah,"Jazirat Hulaylah,Jazīrat Ḩulaylah",25.91667,56.03333
